Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.6818181818181818,0.40540540540540543,0.5084745762711864,0.7065100815100814, ,74.0
Class 1,0.717948717948718,0.8888888888888888,0.7943262411347517,0.7065100815100814, ,126.0
macro avg,0.723522441119834,0.6618404118404119,0.6677841200809398,0.7301587301587301,0.725, 
weighted avg,0.7241964153458746,0.725,0.7036302135242064,0.7301587301587301, , 
