Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8235294117647058,0.5675675675675675,0.6719999999999999,0.7480694980694981, ,74.0
Class 1,0.785234899328859,0.9285714285714286,0.8509090909090908,0.7480694980694981, ,126.0
macro avg,0.7679603021774551,0.694015444015444,0.7040258524357466,0.8101673101673101,0.755, 
weighted avg,0.7620485853947563,0.755,0.7359614629579295,0.8101673101673101, , 
