Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.6818181818181818,0.40540540540540543,0.5084745762711864,0.7065100815100814, ,74.0
Class 1,0.717948717948718,0.8888888888888888,0.7943262411347517,0.7065100815100814, ,126.0
macro avg,0.6998834498834499,0.6471471471471472,0.651400408702969,0.7065100815100814,0.71, 
weighted avg,0.7045804195804196,0.71,0.6885611251352324,0.7065100815100814, , 
