Class,Precision,Recall,F1-score,Support
Class 0,0.8676936062460434,0.5725424672793094,0.6898750104856974,7182.0
Class 1,0.8244510521500458,0.9583250249252243,0.8863615405895553,15045.0
macro avg,0.8414780449401527,0.7727508368795035,0.7936726667156189, 
weighted avg,0.8377507293471962,0.8356953255050165,0.8266129683865423, 
accuracy,0.8356953255050165, , , 
