Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8297491039426523,0.6941529235382309,0.7559183673469387,0.8797782279152997, ,667.0
Class 1,0.8585298196948682,0.9287321830457614,0.8922522522522522,0.8797782279152997, ,1333.0
macro avg,0.8441394618187603,0.8114425532919962,0.8240853097995955,0.8797782279152997,0.8505, 
weighted avg,0.8489314509915042,0.8505,0.8467849016363302,0.8797782279152997, , 
