Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,1.0,0.5714285714285714,0.7272727272727273,0.9780219780219781, ,7.0
Class 1,0.8125,1.0,0.896551724137931,0.9780219780219781, ,13.0
macro avg,0.9333333333333333,0.8571428571428572,0.8809523809523809,0.8351648351648352,0.9, 
weighted avg,0.9133333333333333,0.9,0.8952380952380953,0.8351648351648352, , 
