Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.7505720823798627,0.4917541229385307,0.5942028985507246,0.7906251300456298, ,667.0
Class 1,0.783109404990403,0.9182295573893473,0.8453038674033149,0.7906251300456298, ,1333.0
macro avg,0.7630634669758272,0.6959974626340243,0.710548302410033,0.7906251300456298,0.771, 
weighted avg,0.7676122888296131,0.771,0.7545973512009716,0.7906251300456298, , 
