Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8235294117647058,0.5675675675675675,0.6719999999999999,0.7480694980694981, ,74.0
Class 1,0.785234899328859,0.9285714285714286,0.8509090909090908,0.7480694980694981, ,126.0
macro avg,0.7649032767469404,0.7158944658944659,0.7265454545454546,0.7480694980694981,0.765, 
weighted avg,0.7649545992893801,0.765,0.7532072727272728,0.7480694980694981, , 
