Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8330281338438489,0.6967418546365914,0.7588141633179164,0.8832170665206647, ,7182.0
Class 1,0.8657213316892725,0.9333333333333333,0.8982568367183751,0.8832170665206647, ,15045.0
macro avg,0.8507702576868191,0.809017753200993,0.8246532308091894,0.8786053748158661,0.8550411661492779, 
weighted avg,0.8539255854365431,0.8550411661492779,0.8504762434082509,0.8786053748158661, , 
