Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.70458984375,0.4018379281537176,0.511792871076432,0.7593993569278242, ,7182.0
Class 1,0.7630577464011913,0.9195746095048188,0.8340366530021702,0.7593993569278242, ,15045.0
macro avg,0.7338237950755957,0.6607062688292682,0.6729147620393011,0.7593993569278242,0.7522832590992936, 
weighted avg,0.7441655667619751,0.7522832590992936,0.7299130716915726,0.7593993569278242, , 
