"","Model","AUC Score Biodata","AUC Score when adding WRPC"
"1","Logistic Regression",0.569377990430622,0.811004784688995
"2","XGBoost",0.606459330143541,0.776315789473684
"3","Neural Network",0.569377990430622,0.744019138755981
"4","SVM",0.5,0.642344497607656
"5","Random Forest",0.657894736842105,0.778708133971292
