Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7692307692307693, ,7.0
Class 1,0.8571428571428571,0.9230769230769231,0.888888888888889,0.7692307692307693, ,13.0
macro avg,0.9333333333333333,0.8571428571428572,0.8809523809523809,0.7692307692307693,0.9, 
weighted avg,0.9133333333333333,0.9,0.8952380952380953,0.7692307692307693, , 
