Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8333333333333334,0.7142857142857143,0.7692307692307692,0.7692307692307693, ,7.0
Class 1,0.8571428571428571,0.9230769230769231,0.888888888888889,0.7692307692307693, ,13.0
macro avg,0.8421052631578947,0.5714285714285714,0.53125,0.8461538461538461,0.7, 
weighted avg,0.7947368421052632,0.7,0.6156250000000001,0.8461538461538461, , 
