Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.7505720823798627,0.4917541229385307,0.5942028985507246,0.7906251300456298, ,667.0
Class 1,0.783109404990403,0.9182295573893473,0.8453038674033149,0.7906251300456298, ,1333.0
macro avg,0.7464581644498588,0.6836255540646781,0.6966445090760172,0.7909282418055789,0.76, 
weighted avg,0.7542196639992512,0.76,0.7428094510403197,0.7909282418055789, , 
