Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.8486444314413887,0.6058201058201058,0.7069623852465675,0.8741417583321697, ,7182.0
Class 1,0.8344444444444444,0.9484214024592889,0.8877897029086951,0.8741417583321697, ,15045.0
macro avg,0.8415444379429166,0.7771207541396974,0.7973760440776313,0.8741417583321697,0.8377198902236019, 
weighted avg,0.839032751755915,0.8377198902236019,0.8293606843524616,0.8741417583321697, , 
