Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,1.0,0.5714285714285714,0.7272727272727273,0.9780219780219781, ,7.0
Class 1,0.8125,1.0,0.896551724137931,0.9780219780219781, ,13.0
macro avg,0.90625,0.7857142857142857,0.8119122257053292,0.9780219780219781,0.85, 
weighted avg,0.878125,0.85,0.8373040752351096,0.9780219780219781, , 
