Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.5652173913043478,0.35135135135135137,0.43333333333333335,0.6964821964821964, ,74.0
Class 1,0.6883116883116883,0.8412698412698413,0.7571428571428571,0.6964821964821964, ,126.0
macro avg,0.626764539808018,0.5963105963105964,0.5952380952380952,0.6964821964821964,0.66, 
weighted avg,0.6427667984189723,0.66,0.6373333333333333,0.6964821964821964, , 
