Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.6666666666666666,0.5714285714285714,0.6153846153846153,0.6923076923076924, ,7.0
Class 1,0.7857142857142857,0.8461538461538461,0.8148148148148148,0.6923076923076924, ,13.0
macro avg,0.8452380952380952,0.8186813186813187,0.829059829059829,0.8131868131868132,0.85, 
weighted avg,0.8488095238095237,0.85,0.847008547008547,0.8131868131868132, , 
