Class,Precision,Recall,F1-score,Support
Class 0,0.8281013933187846,0.6868560289612922,0.7508942841920999,7182.0
Class 1,0.8617701290719115,0.9319375207710203,0.8954813986907234,15045.0
macro avg,0.8414780449401527,0.7727508368795035,0.7936726667156189, 
weighted avg,0.8377507293471962,0.8356953255050165,0.8266129683865423, 
accuracy,0.8356953255050165, , , 
