Class,Precision,Recall,F1-score,Support
Class 0,0.7995612285600319,0.5582010582010583,0.6574286651361102,7182.0
Class 1,0.8156625806076803,0.9332003988035892,0.870481740963482,15045.0
macro avg,0.8414780449401527,0.7727508368795035,0.7936726667156189, 
weighted avg,0.8377507293471962,0.8356953255050165,0.8266129683865423, 
accuracy,0.8356953255050165, , , 
