Class,Precision,Recall,F1-score,Support
Class 0,0.8694456199746086,0.5721247563352827,0.6901242861941552,7182.0
Class 1,0.8244100337123593,0.9589896975739448,0.886622011921588,15045.0
macro avg,0.8414780449401527,0.7727508368795035,0.7936726667156189, 
weighted avg,0.8377507293471962,0.8356953255050165,0.8266129683865423, 
accuracy,0.8356953255050165, , , 
