Class,Precision,Recall,F1-score,Support
Class 0,0.839403399236906,0.6739069896964633,0.7476058078467717,7182.0
Class 1,0.857724318085171,0.9384513127284813,0.8962737256395608,15045.0
macro avg,0.8414780449401527,0.7727508368795035,0.7936726667156189, 
weighted avg,0.8377507293471962,0.8356953255050165,0.8266129683865423, 
accuracy,0.8356953255050165, , , 
