Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,1.0,0.7142857142857143,0.8333333333333333,0.7582417582417582, ,7.0
Class 1,0.8666666666666667,1.0,0.9285714285714286,0.7582417582417582, ,13.0
macro avg,0.9333333333333333,0.8571428571428572,0.8809523809523809,0.7582417582417582,0.9, 
weighted avg,0.9133333333333333,0.9,0.8952380952380953,0.7582417582417582, , 
