Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.6818181818181818,0.40540540540540543,0.5084745762711864,0.7065100815100814, ,74.0
Class 1,0.717948717948718,0.8888888888888888,0.7943262411347517,0.7065100815100814, ,126.0
macro avg,0.702338766832034,0.6224796224796225,0.619482496194825,0.7065100815100814,0.7, 
weighted avg,0.701417434443657,0.7,0.6649923896499239,0.7065100815100814, , 
