Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.7505720823798627,0.4917541229385307,0.5942028985507246,0.7906251300456298, ,667.0
Class 1,0.783109404990403,0.9182295573893473,0.8453038674033149,0.7906251300456298, ,1333.0
macro avg,0.7668407436851329,0.704991840163939,0.7197533829770197,0.7906251300456298,0.776, 
weighted avg,0.7722582078997877,0.776,0.761561694290976,0.7906251300456298, , 
