Class,Precision,Recall,F1-score,AUC,Accuracy,Support
Class 0,0.7111111111111111,0.43243243243243246,0.5378151260504201,0.7503753753753754, ,74.0
Class 1,0.7290322580645161,0.8968253968253969,0.804270462633452,0.7503753753753754, ,126.0
macro avg,0.7486449864498645,0.6574431574431574,0.6614420062695925,0.7599206349206349,0.73, 
weighted avg,0.7410704607046071,0.73,0.7010532915360501,0.7599206349206349, , 
